Period,Period Label,Commodity,Commodity Label,Index Base 2015,Index Base 2015 Footnote,Index Base 2015 Missing value,"Growth rate, year-on-year","Growth rate, year-on-year Footnote","Growth rate, year-on-year Missing value",Growth rate (over previous period),Growth rate (over previous period) Footnote,Growth rate (over previous period) Missing value
1996M03,"Mar. 1996",IN0001.04,"Vegetable oilseeds and oils",74.87,,,2.2814,,,-1.1487,,
1996M03,"Mar. 1996",IN0001.06,"Agricultural raw materials",91.25,,,-17.9406,,,-4.4302,,
1996M03,"Mar. 1996",IN0001.07,"Minerals, ores and metals",44.07,,,0.8929,,,-0.4068,,
1996M03,"Mar. 1996",IN0001.08,"Minerals, ores and non-precious metals",56.28,,,-1.6943,,,0.9507,,
1996M03,"Mar. 1996",IN0001.09,"Precious metals",34.43,,,4.46,,,-2.1041,,
1996M03,"Mar. 1996",IN0001.10,"Fuels",43.5,,,20.532,,,-5.8645,,
1996M03,"Mar. 1996",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
1996M03,"Mar. 1996",IN0001.05,"Tropical beverages and food",81.8,,,-5.0604,,,0.0856,,
1996M03,"Mar. 1996",IN0001.22,"All groups excl. fuels",61.02,,,-4.0717,,,-0.9416,,
1996M03,"Mar. 1996",IN0001.23,"All groups excl. precious metals",52.3,,,8.0132,,,-3.7718,,
1996M03,"Mar. 1996",IN0001.24,"All groups excl. precious metals and fuels",72.99,,,-5.7099,,,-0.6939,,
1996M04,"Apr. 1996",IN0001.20,"All groups",49.98,,,4.6263,,,-0.3986,,
1996M04,"Apr. 1996",IN0001.01,"All food",81.21,,,1.1584,,,1.8946,,
1996M04,"Apr. 1996",IN0001.02,"Food",83.39,,,4.6167,,,-0.4655,,
1996M04,"Apr. 1996",IN0001.03,"Tropical beverages",76.03,,,-22.5132,,,0.3829,,
1996M04,"Apr. 1996",IN0001.04,"Vegetable oilseeds and oils",80.37,,,12.9903,,,7.3461,,
1996M04,"Apr. 1996",IN0001.06,"Agricultural raw materials",89.57,,,-16.5937,,,-1.8411,,
1996M04,"Apr. 1996",IN0001.07,"Minerals, ores and metals",44.01,,,-1.0789,,,-0.1361,,
1996M04,"Apr. 1996",IN0001.08,"Minerals, ores and non-precious metals",56.56,,,-1.6519,,,0.4975,,
1996M04,"Apr. 1996",IN0001.09,"Precious metals",34.09,,,-0.2925,,,-0.9875,,
1996M04,"Apr. 1996",IN0001.10,"Fuels",42.98,,,12.0146,,,-1.1954,,
1996M04,"Apr. 1996",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
1996M04,"Apr. 1996",IN0001.05,"Tropical beverages and food",81.58,,,-3.1576,,,-0.2689,,
1996M04,"Apr. 1996",IN0001.22,"All groups excl. fuels",61.34,,,-2.6504,,,0.5244,,
1996M04,"Apr. 1996",IN0001.23,"All groups excl. precious metals",52.12,,,5.1018,,,-0.3442,,
1996M04,"Apr. 1996",IN0001.24,"All groups excl. precious metals and fuels",73.61,,,-3.1192,,,0.8494,,
1996M05,"May  1996",IN0001.20,"All groups",48.8,,,3.2149,,,-2.3609,,
