Period,Period Label,Commodity,Commodity Label,Index Base 2015,Index Base 2015 Footnote,Index Base 2015 Missing value,"Growth rate, year-on-year","Growth rate, year-on-year Footnote","Growth rate, year-on-year Missing value",Growth rate (over previous period),Growth rate (over previous period) Footnote,Growth rate (over previous period) Missing value
2021M07,"Jul. 2021",IN0001.01,"All food",130.96,,,37.1309,,,0.0535,,
2021M07,"Jul. 2021",IN0001.02,"Food",122.78,,,24.6497,,,-0.0814,,
2021M07,"Jul. 2021",IN0001.03,"Tropical beverages",106.97,,,33.7627,,,4.2186,,
2021M07,"Jul. 2021",IN0001.04,"Vegetable oilseeds and oils",158.85,,,60.2603,,,-1.2802,,
2021M07,"Jul. 2021",IN0001.06,"Agricultural raw materials",109.03,,,17.6921,,,-0.4565,,
2021M07,"Jul. 2021",IN0001.07,"Minerals, ores and metals",186.42,,,25.968,,,-0.7084,,
2021M07,"Jul. 2021",IN0001.08,"Minerals, ores and non-precious metals",227.35,,,61.1497,,,0.2823,,
2021M07,"Jul. 2021",IN0001.09,"Precious metals",154.08,,,0.4106,,,-1.8349,,
2021M07,"Jul. 2021",IN0001.10,"Fuels",146.72,,,92.5965,,,5.9274,,
2021M07,"Jul. 2021",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2021M07,"Jul. 2021",IN0001.05,"Tropical beverages and food",118.89,,,26.573,,,0.8482,,
2021M07,"Jul. 2021",IN0001.22,"All groups excl. fuels",159.67,,,28.3521,,,-0.4737,,
2021M07,"Jul. 2021",IN0001.23,"All groups excl. precious metals",151.33,,,74.625,,,3.9997,,
2021M07,"Jul. 2021",IN0001.24,"All groups excl. precious metals and fuels",162.18,,,45.6881,,,0.1173,,
2021M08,"Aug. 2021",IN0001.20,"All groups",149,,,48.4359,,,-1.7539,,
2021M08,"Aug. 2021",IN0001.01,"All food",132.66,,,33.9324,,,1.2981,,
2021M08,"Aug. 2021",IN0001.02,"Food",124.09,,,23.2886,,,1.0669,,
2021M08,"Aug. 2021",IN0001.03,"Tropical beverages",114.25,,,30.1253,,,6.8056,,
2021M08,"Aug. 2021",IN0001.04,"Vegetable oilseeds and oils",158.05,,,53.9548,,,-0.5036,,
2021M08,"Aug. 2021",IN0001.06,"Agricultural raw materials",109.95,,,15.2395,,,0.8438,,
2021M08,"Aug. 2021",IN0001.07,"Minerals, ores and metals",174.42,,,9.6223,,,-6.4371,,
2021M08,"Aug. 2021",IN0001.08,"Minerals, ores and non-precious metals",203.84,,,35.984,,,-10.3409,,
2021M08,"Aug. 2021",IN0001.09,"Precious metals",151.18,,,-9.1357,,,-1.8821,,
2021M08,"Aug. 2021",IN0001.10,"Fuels",146.12,,,80.7521,,,-0.4089,,
2021M08,"Aug. 2021",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2021M08,"Aug. 2021",IN0001.05,"Tropical beverages and food",121.66,,,24.8051,,,2.3299,,
2021M08,"Aug. 2021",IN0001.22,"All groups excl. fuels",153.68,,,16.3537,,,-3.7515,,
2021M08,"Aug. 2021",IN0001.23,"All groups excl. precious metals",148.71,,,62.4891,,,-1.7313,,
2021M08,"Aug. 2021",IN0001.24,"All groups excl. precious metals and fuels",154.8,,,32.7274,,,-4.5505,,
2021M09,"Sep. 2021",IN0001.20,"All groups",159.82,,,63.0816,,,7.2617,,
2021M09,"Sep. 2021",IN0001.01,"All food",132.58,,,30.0314,,,-0.0603,,
2021M09,"Sep. 2021",IN0001.02,"Food",124.34,,,23.1455,,,0.2015,,
2021M09,"Sep. 2021",IN0001.03,"Tropical beverages",119.94,,,34.2512,,,4.9803,,
2021M09,"Sep. 2021",IN0001.04,"Vegetable oilseeds and oils",154.12,,,39.0347,,,-2.4866,,
2021M09,"Sep. 2021",IN0001.06,"Agricultural raw materials",108.66,,,10.9115,,,-1.1733,,
2021M09,"Sep. 2021",IN0001.07,"Minerals, ores and metals",166.38,,,5.2239,,,-4.6096,,
2021M09,"Sep. 2021",IN0001.08,"Minerals, ores and non-precious metals",186.9,,,22.101,,,-8.3104,,
2021M09,"Sep. 2021",IN0001.09,"Precious metals",150.16,,,-7.3715,,,-0.6747,,
2021M09,"Sep. 2021",IN0001.10,"Fuels",166.45,,,117.4396,,,13.9132,,
2021M09,"Sep. 2021",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2021M09,"Sep. 2021",IN0001.05,"Tropical beverages and food",123.25,,,25.6371,,,1.3069,,
2021M09,"Sep. 2021",IN0001.22,"All groups excl. fuels",149.06,,,12.2524,,,-3.0062,,
2021M09,"Sep. 2021",IN0001.23,"All groups excl. precious metals",161.11,,,80.2327,,,8.3384,,
2021M09,"Sep. 2021",IN0001.24,"All groups excl. precious metals and fuels",148.56,,,24.2348,,,-4.031,,
2021M10,"Oct. 2021",IN0001.20,"All groups",177.23,,,79.9655,,,10.8935,,
2021M10,"Oct. 2021",IN0001.01,"All food",135.29,,,30.9174,,,2.044,,
2021M10,"Oct. 2021",IN0001.02,"Food",123.24,,,20.3751,,,-0.8847,,
2021M10,"Oct. 2021",IN0001.03,"Tropical beverages",128.09,,,55.3548,,,6.7951,,
2021M10,"Oct. 2021",IN0001.04,"Vegetable oilseeds and oils",160.34,,,37.16,,,4.0358,,
2021M10,"Oct. 2021",IN0001.06,"Agricultural raw materials",111.23,,,8.4113,,,2.3652,,
2021M10,"Oct. 2021",IN0001.07,"Minerals, ores and metals",169.52,,,8.604,,,1.8872,,
2021M10,"Oct. 2021",IN0001.08,"Minerals, ores and non-precious metals",193.73,,,27.7313,,,3.6544,,
2021M10,"Oct. 2021",IN0001.09,"Precious metals",150.39,,,-5.7589,,,0.1532,,
2021M10,"Oct. 2021",IN0001.10,"Fuels",192.8,,,148.9348,,,15.8306,,
2021M10,"Oct. 2021",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2021M10,"Oct. 2021",IN0001.05,"Tropical beverages and food",124.44,,,27.6832,,,0.9655,,
2021M10,"Oct. 2021",IN0001.22,"All groups excl. fuels",151.99,,,14.6316,,,1.9657,,
2021M10,"Oct. 2021",IN0001.23,"All groups excl. precious metals",180.84,,,100.3101,,,12.2463,,
2021M10,"Oct. 2021",IN0001.24,"All groups excl. precious metals and fuels",152.71,,,26.804,,,2.7935,,
2021M11,"Nov. 2021",IN0001.20,"All groups",172.67,,,67.6896,,,-2.5729,,
2021M11,"Nov. 2021",IN0001.01,"All food",137.03,,,26.1438,,,1.2861,,
2021M11,"Nov. 2021",IN0001.02,"Food",124.02,,,18.85,,,0.6329,,
2021M11,"Nov. 2021",IN0001.03,"Tropical beverages",134.73,,,57.9484,,,5.1839,,
2021M11,"Nov. 2021",IN0001.04,"Vegetable oilseeds and oils",160.97,,,24.4453,,,0.3929,,
2021M11,"Nov. 2021",IN0001.06,"Agricultural raw materials",112.57,,,8.2196,,,1.2047,,
2021M11,"Nov. 2021",IN0001.07,"Minerals, ores and metals",166.22,,,5.7043,,,-1.9467,,
2021M11,"Nov. 2021",IN0001.08,"Minerals, ores and non-precious metals",181.48,,,15.0866,,,-6.3232,,
2021M11,"Nov. 2021",IN0001.09,"Precious metals",154.16,,,-1.7526,,,2.5068,,
2021M11,"Nov. 2021",IN0001.10,"Fuels",186.11,,,124.013,,,-3.4699,,
2021M11,"Nov. 2021",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2021M11,"Nov. 2021",IN0001.05,"Tropical beverages and food",126.66,,,27.1049,,,1.784,,
2021M11,"Nov. 2021",IN0001.22,"All groups excl. fuels",150.89,,,11.5968,,,-0.7237,,
2021M11,"Nov. 2021",IN0001.23,"All groups excl. precious metals",175.16,,,82.9921,,,-3.1409,,
2021M11,"Nov. 2021",IN0001.24,"All groups excl. precious metals and fuels",149.42,,,19.1167,,,-2.1544,,
2021M12,"Dec. 2021",IN0001.20,"All groups",172.83,,,53.5311,,,0.0927,,
2021M12,"Dec. 2021",IN0001.01,"All food",137.1,,,22.8385,,,0.0511,,
2021M12,"Dec. 2021",IN0001.02,"Food",124.47,,,17.9475,,,0.3628,,
2021M12,"Dec. 2021",IN0001.03,"Tropical beverages",139.28,,,57.343,,,3.3771,,
2021M12,"Dec. 2021",IN0001.04,"Vegetable oilseeds and oils",157.84,,,16.6248,,,-1.9445,,
2021M12,"Dec. 2021",IN0001.06,"Agricultural raw materials",111.68,,,4.7164,,,-0.7906,,
2021M12,"Dec. 2021",IN0001.07,"Minerals, ores and metals",168.29,,,0.8751,,,1.2453,,
2021M12,"Dec. 2021",IN0001.08,"Minerals, ores and non-precious metals",190.95,,,6.6581,,,5.2182,,
2021M12,"Dec. 2021",IN0001.09,"Precious metals",150.38,,,-4.3323,,,-2.452,,
2021M12,"Dec. 2021",IN0001.10,"Fuels",185.69,,,96.435,,,-0.2257,,
2021M12,"Dec. 2021",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2021M12,"Dec. 2021",IN0001.05,"Tropical beverages and food",128.12,,,26.4259,,,1.1527,,
2021M12,"Dec. 2021",IN0001.22,"All groups excl. fuels",151.98,,,7.164,,,0.7224,,
2021M12,"Dec. 2021",IN0001.23,"All groups excl. precious metals",175.85,,,65.0089,,,0.3939,,
2021M12,"Dec. 2021",IN0001.24,"All groups excl. precious metals and fuels",152.7,,,13.195,,,2.1952,,
2022M01,"Jan. 2022",IN0001.20,"All groups",176.97,,,46.6805,,,2.3954,,
2022M01,"Jan. 2022",IN0001.01,"All food",142.31,,,20.3569,,,3.8001,,
2022M01,"Jan. 2022",IN0001.02,"Food",126.27,,,13.4705,,,1.4461,,
2022M01,"Jan. 2022",IN0001.03,"Tropical beverages",140.96,,,57.744,,,1.2062,,
2022M01,"Jan. 2022",IN0001.04,"Vegetable oilseeds and oils",170.99,,,16.4861,,,8.3312,,
2022M01,"Jan. 2022",IN0001.06,"Agricultural raw materials",114.32,,,6.0482,,,2.3639,,
2022M01,"Jan. 2022",IN0001.07,"Minerals, ores and metals",175.45,,,2.3808,,,4.2546,,
2022M01,"Jan. 2022",IN0001.08,"Minerals, ores and non-precious metals",203.59,,,8.6857,,,6.6195,,
2022M01,"Jan. 2022",IN0001.09,"Precious metals",153.21,,,-3.4958,,,1.8819,,
2022M01,"Jan. 2022",IN0001.10,"Fuels",188.66,,,80.4495,,,1.5994,,
2022M01,"Jan. 2022",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2022M01,"Jan. 2022",IN0001.05,"Tropical beverages and food",129.89,,,22.6766,,,1.3815,,
2022M01,"Jan. 2022",IN0001.22,"All groups excl. fuels",158.02,,,7.6724,,,3.9742,,
2022M01,"Jan. 2022",IN0001.23,"All groups excl. precious metals",180.17,,,55.9508,,,2.4566,,
2022M01,"Jan. 2022",IN0001.24,"All groups excl. precious metals and fuels",160.19,,,13.3206,,,4.905,,
2022M02,"Feb. 2022",IN0001.20,"All groups",188.88,,,43.0476,,,6.73,,
2022M02,"Feb. 2022",IN0001.01,"All food",149.41,,,23.4691,,,4.9891,,
2022M02,"Feb. 2022",IN0001.02,"Food",128.26,,,11.6081,,,1.576,,
2022M02,"Feb. 2022",IN0001.03,"Tropical beverages",146.63,,,60.0589,,,4.0224,,
2022M02,"Feb. 2022",IN0001.04,"Vegetable oilseeds and oils",187.78,,,26.5961,,,9.8193,,
2022M02,"Feb. 2022",IN0001.06,"Agricultural raw materials",115.74,,,5.4002,,,1.2421,,
2022M02,"Feb. 2022",IN0001.07,"Minerals, ores and metals",181.44,,,6.0123,,,3.4141,,
2022M02,"Feb. 2022",IN0001.08,"Minerals, ores and non-precious metals",212.89,,,11.4316,,,4.568,,
2022M02,"Feb. 2022",IN0001.09,"Precious metals",156.6,,,0.7528,,,2.2126,,
2022M02,"Feb. 2022",IN0001.10,"Fuels",204.24,,,66.9719,,,8.2582,,
2022M02,"Feb. 2022",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2022M02,"Feb. 2022",IN0001.05,"Tropical beverages and food",132.78,,,21.6157,,,2.225,,
2022M02,"Feb. 2022",IN0001.22,"All groups excl. fuels",163.96,,,10.9337,,,3.759,,
2022M02,"Feb. 2022",IN0001.23,"All groups excl. precious metals",193.21,,,49.8914,,,7.2376,,
2022M02,"Feb. 2022",IN0001.24,"All groups excl. precious metals and fuels",167.27,,,15.87,,,4.4198,,
2022M03,"Mar. 2022",IN0001.20,"All groups",224.61,,,73.2166,,,18.9168,,
2022M03,"Mar. 2022",IN0001.01,"All food",159.05,,,30.2194,,,6.452,,
2022M03,"Mar. 2022",IN0001.02,"Food",136.56,,,19.7055,,,6.4712,,
2022M03,"Mar. 2022",IN0001.03,"Tropical beverages",136.13,,,47.9835,,,-7.1609,,
2022M03,"Mar. 2022",IN0001.04,"Vegetable oilseeds and oils",211.22,,,37.7731,,,12.4827,,
2022M03,"Mar. 2022",IN0001.06,"Agricultural raw materials",115.88,,,4.2743,,,0.121,,
2022M03,"Mar. 2022",IN0001.07,"Minerals, ores and metals",193.81,,,14.7212,,,6.8177,,
2022M03,"Mar. 2022",IN0001.08,"Minerals, ores and non-precious metals",231.06,,,18.0021,,,8.5349,,
2022M03,"Mar. 2022",IN0001.09,"Precious metals",164.38,,,11.2856,,,4.9681,,
2022M03,"Mar. 2022",IN0001.10,"Fuels",255.7,,,114.9823,,,25.1958,,
2022M03,"Mar. 2022",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2022M03,"Mar. 2022",IN0001.05,"Tropical beverages and food",136.45,,,25.5983,,,2.764,,
2022M03,"Mar. 2022",IN0001.22,"All groups excl. fuels",174.2,,,18.4389,,,6.2454,,
2022M03,"Mar. 2022",IN0001.23,"All groups excl. precious metals",232.7,,,82.8684,,,20.4389,,
2022M03,"Mar. 2022",IN0001.24,"All groups excl. precious metals and fuels",178.62,,,21.6757,,,6.7854,,
2022M04,"Apr. 2022",IN0001.20,"All groups",211.37,,,60.7499,,,-5.8947,,
2022M04,"Apr. 2022",IN0001.01,"All food",159.01,,,26.2585,,,-0.0251,,
2022M04,"Apr. 2022",IN0001.02,"Food",137.86,,,16.781,,,0.952,,
2022M04,"Apr. 2022",IN0001.03,"Tropical beverages",139.02,,,49.4196,,,2.123,,
2022M04,"Apr. 2022",IN0001.04,"Vegetable oilseeds and oils",207.2,,,30.8163,,,-1.9032,,
2022M04,"Apr. 2022",IN0001.06,"Agricultural raw materials",115.75,,,6.1051,,,-0.1122,,
2022M04,"Apr. 2022",IN0001.07,"Minerals, ores and metals",193.44,,,10.3228,,,-0.1909,,
2022M04,"Apr. 2022",IN0001.08,"Minerals, ores and non-precious metals",232.4,,,12.832,,,0.5799,,
2022M04,"Apr. 2022",IN0001.09,"Precious metals",162.65,,,7.6155,,,-1.0524,,
2022M04,"Apr. 2022",IN0001.10,"Fuels",234.44,,,97.0415,,,-8.3144,,
2022M04,"Apr. 2022",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2022M04,"Apr. 2022",IN0001.05,"Tropical beverages and food",138.15,,,23.4695,,,1.2459,,
2022M04,"Apr. 2022",IN0001.22,"All groups excl. fuels",173.97,,,14.6274,,,-0.132,,
2022M04,"Apr. 2022",IN0001.23,"All groups excl. precious metals",217.91,,,69.1191,,,-6.3558,,
2022M04,"Apr. 2022",IN0001.24,"All groups excl. precious metals and fuels",179.06,,,17.7639,,,0.2463,,
2022M05,"May  2022",IN0001.20,"All groups",217.16,,,54.2658,,,2.7393,,
2022M05,"May  2022",IN0001.01,"All food",158.92,,,18.4909,,,-0.0566,,
2022M05,"May  2022",IN0001.02,"Food",138.65,,,11.9138,,,0.573,,
2022M05,"May  2022",IN0001.03,"Tropical beverages",135.86,,,35.8328,,,-2.2731,,
2022M05,"May  2022",IN0001.04,"Vegetable oilseeds and oils",207.31,,,21.0004,,,0.0531,,
2022M05,"May  2022",IN0001.06,"Agricultural raw materials",116.61,,,6.1345,,,0.743,,
2022M05,"May  2022",IN0001.07,"Minerals, ores and metals",177.42,,,-6.0176,,,-8.2816,,
2022M05,"May  2022",IN0001.08,"Minerals, ores and non-precious metals",205.98,,,-9.0516,,,-11.3683,,
2022M05,"May  2022",IN0001.09,"Precious metals",154.86,,,-2.5976,,,-4.7894,,
2022M05,"May  2022",IN0001.10,"Fuels",249.27,,,95.3833,,,6.3257,,
2022M05,"May  2022",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2022M05,"May  2022",IN0001.05,"Tropical beverages and food",137.96,,,16.9053,,,-0.1375,,
2022M05,"May  2022",IN0001.22,"All groups excl. fuels",165.11,,,1.8192,,,-5.0928,,
2022M05,"May  2022",IN0001.23,"All groups excl. precious metals",225.54,,,63.0567,,,3.5014,,
2022M05,"May  2022",IN0001.24,"All groups excl. precious metals and fuels",169.73,,,3.7596,,,-5.2105,,
2022M06,"June 2022",IN0001.20,"All groups",226.08,,,53.932,,,4.1076,,
2022M06,"June 2022",IN0001.01,"All food",155.16,,,18.5423,,,-2.366,,
2022M06,"June 2022",IN0001.02,"Food",135.04,,,9.8958,,,-2.6037,,
2022M06,"June 2022",IN0001.03,"Tropical beverages",139.68,,,36.0873,,,2.8117,,
2022M06,"June 2022",IN0001.04,"Vegetable oilseeds and oils",198.98,,,23.6592,,,-4.0181,,
2022M06,"June 2022",IN0001.06,"Agricultural raw materials",112.88,,,3.0585,,,-3.1987,,
2022M06,"June 2022",IN0001.07,"Minerals, ores and metals",173.6,,,-7.5366,,,-2.1531,,
2022M06,"June 2022",IN0001.08,"Minerals, ores and non-precious metals",199.02,,,-12.2138,,,-3.379,,
2022M06,"June 2022",IN0001.09,"Precious metals",153.52,,,-2.1916,,,-0.8653,,
2022M06,"June 2022",IN0001.10,"Fuels",266.02,,,92.0583,,,6.7196,,
2022M06,"June 2022",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2022M06,"June 2022",IN0001.05,"Tropical beverages and food",136.19,,,15.5229,,,-1.283,,
2022M06,"June 2022",IN0001.22,"All groups excl. fuels",161.33,,,0.561,,,-2.2894,,
2022M06,"June 2022",IN0001.23,"All groups excl. precious metals",235.83,,,62.0713,,,4.5624,,
2022M06,"June 2022",IN0001.24,"All groups excl. precious metals and fuels",164.84,,,1.7594,,,-2.881,,
2022M07,"Jul. 2022",IN0001.20,"All groups",225.42,,,48.6351,,,-0.2919,,
2022M07,"Jul. 2022",IN0001.01,"All food",142.29,,,8.6515,,,-8.2947,,
2022M07,"Jul. 2022",IN0001.02,"Food",127.52,,,3.8606,,,-5.5687,,
2022M07,"Jul. 2022",IN0001.03,"Tropical beverages",134.33,,,25.5773,,,-3.8302,,
2022M07,"Jul. 2022",IN0001.04,"Vegetable oilseeds and oils",172.53,,,8.6119,,,-13.2928,,
2022M07,"Jul. 2022",IN0001.06,"Agricultural raw materials",108.14,,,-0.8163,,,-4.1991,,
2022M07,"Jul. 2022",IN0001.07,"Minerals, ores and metals",155.61,,,-16.5272,,,-10.3629,,
2022M07,"Jul. 2022",IN0001.08,"Minerals, ores and non-precious metals",169.53,,,-25.4322,,,-14.8176,,
2022M07,"Jul. 2022",IN0001.09,"Precious metals",144.62,,,-6.1397,,,-5.7973,,
2022M07,"Jul. 2022",IN0001.10,"Fuels",274.17,,,86.8661,,,3.0637,,
2022M07,"Jul. 2022",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2022M07,"Jul. 2022",IN0001.05,"Tropical beverages and food",129.2,,,8.6719,,,-5.1325,,
2022M07,"Jul. 2022",IN0001.22,"All groups excl. fuels",146.39,,,-8.3172,,,-9.2605,,
2022M07,"Jul. 2022",IN0001.23,"All groups excl. precious metals",236.28,,,56.1356,,,0.1908,,
2022M07,"Jul. 2022",IN0001.24,"All groups excl. precious metals and fuels",147.19,,,-9.2428,,,-10.7074,,
2022M08,"Aug. 2022",IN0001.20,"All groups",235.56,,,58.094,,,4.4983,,
2022M08,"Aug. 2022",IN0001.01,"All food",140.67,,,6.038,,,-1.1385,,
2022M08,"Aug. 2022",IN0001.02,"Food",124.04,,,-0.0403,,,-2.729,,
2022M08,"Aug. 2022",IN0001.03,"Tropical beverages",138.48,,,21.2079,,,3.0894,,
2022M08,"Aug. 2022",IN0001.04,"Vegetable oilseeds and oils",170.84,,,8.0924,,,-0.9795,,
2022M08,"Aug. 2022",IN0001.06,"Agricultural raw materials",105.74,,,-3.829,,,-2.2193,,
2022M08,"Aug. 2022",IN0001.07,"Minerals, ores and metals",159.68,,,-8.4509,,,2.6155,,
2022M08,"Aug. 2022",IN0001.08,"Minerals, ores and non-precious metals",175.3,,,-14.0012,,,3.4035,,
2022M08,"Aug. 2022",IN0001.09,"Precious metals",147.34,,,-2.54,,,1.8808,,
2022M08,"Aug. 2022",IN0001.10,"Fuels",289.65,,,98.2275,,,5.6461,,
2022M08,"Aug. 2022",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2022M08,"Aug. 2022",IN0001.05,"Tropical beverages and food",127.6,,,4.8825,,,-1.2384,,
2022M08,"Aug. 2022",IN0001.22,"All groups excl. fuels",147.86,,,-3.7871,,,1.0042,,
2022M08,"Aug. 2022",IN0001.23,"All groups excl. precious metals",247.41,,,66.3708,,,4.7105,,
2022M08,"Aug. 2022",IN0001.24,"All groups excl. precious metals and fuels",148.09,,,-4.3346,,,0.6115,,
2022M09,"Sep. 2022",IN0001.20,"All groups",215.9,,,35.0895,,,-8.3461,,
2022M09,"Sep. 2022",IN0001.01,"All food",138.62,,,4.5557,,,-1.4573,,
2022M09,"Sep. 2022",IN0001.02,"Food",123.54,,,-0.6434,,,-0.4031,,
2022M09,"Sep. 2022",IN0001.03,"Tropical beverages",137.74,,,14.8408,,,-0.5344,,
2022M09,"Sep. 2022",IN0001.04,"Vegetable oilseeds and oils",165.35,,,7.2865,,,-3.2135,,
2022M09,"Sep. 2022",IN0001.06,"Agricultural raw materials",99.99,,,-7.979,,,-5.4379,,
2022M09,"Sep. 2022",IN0001.07,"Minerals, ores and metals",151.48,,,-8.9554,,,-5.1353,,
2022M09,"Sep. 2022",IN0001.08,"Minerals, ores and non-precious metals",165.41,,,-11.4981,,,-5.6418,,
2022M09,"Sep. 2022",IN0001.09,"Precious metals",140.48,,,-6.4465,,,-4.6559,,
2022M09,"Sep. 2022",IN0001.10,"Fuels",261.46,,,57.0802,,,-9.7324,,
2022M09,"Sep. 2022",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2022M09,"Sep. 2022",IN0001.05,"Tropical beverages and food",127.04,,,3.0751,,,-0.4389,,
2022M09,"Sep. 2022",IN0001.22,"All groups excl. fuels",142.03,,,-4.7162,,,-3.9429,,
2022M09,"Sep. 2022",IN0001.23,"All groups excl. precious metals",226.04,,,40.3017,,,-8.6375,,
2022M09,"Sep. 2022",IN0001.24,"All groups excl. precious metals and fuels",142.73,,,-3.9243,,,-3.6194,,
2022M10,"Oct. 2022",IN0001.20,"All groups",195.49,,,10.303,,,-9.4535,,
2022M10,"Oct. 2022",IN0001.01,"All food",135.51,,,0.1626,,,-2.2435,,
2022M10,"Oct. 2022",IN0001.02,"Food",125.2,,,1.5904,,,1.3437,,
2022M10,"Oct. 2022",IN0001.03,"Tropical beverages",127.03,,,-0.8275,,,-7.7755,,
2022M10,"Oct. 2022",IN0001.04,"Vegetable oilseeds and oils",158.27,,,-1.291,,,-4.2818,,
2022M10,"Oct. 2022",IN0001.06,"Agricultural raw materials",96.12,,,-13.5845,,,-3.8704,,
2022M10,"Oct. 2022",IN0001.07,"Minerals, ores and metals",148.54,,,-12.3761,,,-1.9409,,
2022M10,"Oct. 2022",IN0001.08,"Minerals, ores and non-precious metals",159.99,,,-17.416,,,-3.2767,,
2022M10,"Oct. 2022",IN0001.09,"Precious metals",139.48,,,-7.2545,,,-0.7118,,
2022M10,"Oct. 2022",IN0001.10,"Fuels",230.37,,,19.4865,,,-11.8909,,
2022M10,"Oct. 2022",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2022M10,"Oct. 2022",IN0001.05,"Tropical beverages and food",125.65,,,0.9724,,,-1.0941,,
2022M10,"Oct. 2022",IN0001.22,"All groups excl. fuels",138.94,,,-8.5861,,,-2.1756,,
2022M10,"Oct. 2022",IN0001.23,"All groups excl. precious metals",203.02,,,12.265,,,-10.184,,
2022M10,"Oct. 2022",IN0001.24,"All groups excl. precious metals and fuels",138.7,,,-9.1743,,,-2.8235,,
2022M11,"Nov. 2022",IN0001.20,"All groups",189.6,,,9.8048,,,-3.0129,,
2022M11,"Nov. 2022",IN0001.01,"All food",135.55,,,-1.0801,,,0.0295,,
2022M11,"Nov. 2022",IN0001.02,"Food",125.14,,,0.9031,,,-0.0479,,
2022M11,"Nov. 2022",IN0001.03,"Tropical beverages",115.76,,,-14.08,,,-8.8719,,
2022M11,"Nov. 2022",IN0001.04,"Vegetable oilseeds and oils",164.94,,,2.4663,,,4.2143,,
2022M11,"Nov. 2022",IN0001.06,"Agricultural raw materials",96.74,,,-14.0624,,,0.645,,
2022M11,"Nov. 2022",IN0001.07,"Minerals, ores and metals",154.65,,,-6.9607,,,4.1134,,
2022M11,"Nov. 2022",IN0001.08,"Minerals, ores and non-precious metals",166.5,,,-8.2544,,,4.069,,
2022M11,"Nov. 2022",IN0001.09,"Precious metals",145.29,,,-5.7538,,,4.1655,,
2022M11,"Nov. 2022",IN0001.10,"Fuels",218.7,,,17.5111,,,-5.0658,,
2022M11,"Nov. 2022",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2022M11,"Nov. 2022",IN0001.05,"Tropical beverages and food",122.83,,,-3.0238,,,-2.2443,,
2022M11,"Nov. 2022",IN0001.22,"All groups excl. fuels",142.42,,,-5.6134,,,2.5047,,
2022M11,"Nov. 2022",IN0001.23,"All groups excl. precious metals",195.55,,,11.6408,,,-3.6794,,
2022M11,"Nov. 2022",IN0001.24,"All groups excl. precious metals and fuels",141.12,,,-5.5548,,,1.7448,,
2022M12,"Dec. 2022",IN0001.20,"All groups",183.12,,,5.9538,,,-3.4177,,
2022M12,"Dec. 2022",IN0001.01,"All food",133.8,,,-2.407,,,-1.291,,
2022M12,"Dec. 2022",IN0001.02,"Food",124.06,,,-0.3294,,,-0.863,,
2022M12,"Dec. 2022",IN0001.03,"Tropical beverages",117.28,,,-15.7955,,,1.3131,,
2022M12,"Dec. 2022",IN0001.04,"Vegetable oilseeds and oils",160.14,,,1.4572,,,-2.9101,,
2022M12,"Dec. 2022",IN0001.06,"Agricultural raw materials",100.47,,,-10.0376,,,3.8557,,
2022M12,"Dec. 2022",IN0001.07,"Minerals, ores and metals",165.17,,,-1.8539,,,6.8025,,
2022M12,"Dec. 2022",IN0001.08,"Minerals, ores and non-precious metals",182.1,,,-4.6347,,,9.3694,,
2022M12,"Dec. 2022",IN0001.09,"Precious metals",151.8,,,0.9443,,,4.4807,,
2022M12,"Dec. 2022",IN0001.10,"Fuels",204.78,,,10.2806,,,-6.3649,,
2022M12,"Dec. 2022",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2022M12,"Dec. 2022",IN0001.05,"Tropical beverages and food",122.39,,,-4.4724,,,-0.3582,,
2022M12,"Dec. 2022",IN0001.22,"All groups excl. fuels",148.02,,,-2.6056,,,3.932,,
