Quarter,Quarter Label,Economy,Economy Label,Flow,Flow Label,Growth rate (over previous period),Growth rate (over previous period) Footnote,Growth rate (over previous period) Missing value,"Growth rate, year-on-year","Growth rate, year-on-year Footnote","Growth rate, year-on-year Missing value",Volume Index (2005=100),Volume Index (2005=100) Footnote,Volume Index (2005=100) Missing value,"Volume Index, seasonally adjusted (2005=100)","Volume Index, seasonally adjusted (2005=100) Footnote","Volume Index, seasonally adjusted (2005=100) Missing value","Growth rate (over previous period), seasonally adjusted","Growth rate (over previous period), seasonally adjusted Footnote","Growth rate (over previous period), seasonally adjusted Missing value"
2013Q03,"Q3 2013",112,"Belarus",01,"Imports",0.5833,"Estimated",,-4.7459,"Estimated",,224.2335,"Estimated",,209.449,"Estimated",,5.77917,"Estimated",
2013Q03,"Q3 2013",056,"Belgium",02,"Exports",-0.5479,,,6.9432,,,111.3571,,,113.925,,,3.38743,,
2013Q03,"Q3 2013",056,"Belgium",01,"Imports",-4.267,,,0.8142,,,101.0907,,,105.3287,,,-0.97315,,
2013Q03,"Q3 2013",068,"Bolivia (Plurinational State of)",02,"Exports",8.1224,"Estimated",,-5.5874,"Estimated",,394.5289,"Estimated",,343.5413,"Estimated",,-0.7346,"Estimated",
2013Q03,"Q3 2013",068,"Bolivia (Plurinational State of)",01,"Imports",8.2932,"Estimated",,11.615,"Estimated",,360.0581,"Estimated",,327.781,"Estimated",,0.70411,"Estimated",
2013Q03,"Q3 2013",076,"Brazil",02,"Exports",5.2017,,,3.9094,,,131.3215,,,107.292,"Estimated",,0.30082,"Estimated",
2013Q03,"Q3 2013",076,"Brazil",01,"Imports",3.0413,,,12.6179,,,246.9571,,,221.2951,"Estimated",,-2.07331,"Estimated",
2013Q03,"Q3 2013",100,"Bulgaria",02,"Exports",12.3587,,,14.5035,,,217.5972,,,195.5715,,,7.20798,,
2013Q03,"Q3 2013",100,"Bulgaria",01,"Imports",2.5009,,,9.5375,,,235.9113,,,212.5714,,,2.71888,,
2013Q03,"Q3 2013",124,"Canada",02,"Exports",-3.986,,,2.0332,,,101.6543,,,100.8297,,,-0.97784,,
2013Q03,"Q3 2013",124,"Canada",01,"Imports",-2.0787,,,3.289,,,126.7945,,,122.2398,,,0.29221,,
2013Q03,"Q3 2013",152,"Chile",02,"Exports",-7.0866,,,12.5963,,,117.9247,,,121.5982,"Estimated",,-1.81768,"Estimated",
2013Q03,"Q3 2013",152,"Chile",01,"Imports",2.6288,,,-0.6683,,,222.4126,,,204.729,"Estimated",,-5.68538,"Estimated",
2013Q03,"Q3 2013",156,"China",02,"Exports",4.6252,,,5.1961,,,287.9975,,,244.8428,"Estimated",,1.08012,"Estimated",
2013Q03,"Q3 2013",156,"China",01,"Imports",6.5575,,,9.678,,,272.5398,,,245.5003,"Estimated",,2.13903,"Estimated",
